P0A110	pf00848;cladeA;subcladeA00 naphthalene
A0A010RDK6	pf00848;cladeA;subcladeA00 naphthalene
P0A111	pf00848;cladeA;subcladeA00 naphthalene
O07824	pf00848;cladeA;subcladeA00 naphthalene
O52382	pf00848;cladeA;subcladeA00 naphthalene
Q45695	pf00848;cladeA;subcladeA00 naphthalene
A0A386TL93	pf00848;cladeA;subcladeA00 naphthalene
Q51494	pf00848;cladeA;subcladeA00 naphthalene
A0A158GIC8	pf00848;cladeA;subcladeA00 naphthalene
A0A0J1DCT5	pf00848;cladeA;subcladeA00 naphthalene
A0A0B8ZKZ3	pf00848;cladeA;subcladeA00 naphthalene
A0A013XQ12	pf00848;cladeA;subcladeA00 naphthalene
A0A136H2J2	pf00848;cladeA;subcladeA00 naphthalene
A0A059G3X5	pf00848;cladeA;subcladeA00 naphthalene
A0A081RAE6	pf00848;cladeA;subcladeA00 naphthalene
A0A0D1MUV6	pf00848;cladeA;subcladeA00 naphthalene
A0A2D6F7D9	pf00848;cladeA;subcladeA00 naphthalene
A0A069IFK7	pf00848;cladeA;subcladeA00 naphthalene
A0A059G3N1	pf00848;cladeA;subcladeA00 naphthalene
A0A068SJU8	pf00848;cladeA;subcladeA00 naphthalene
P0C618	pf00848;cladeA;subcladeA01 benzene/biphenyl
A5W4F2	pf00848;cladeA;subcladeA01 benzene/biphenyl
O24676	pf00848;cladeA;subcladeA01 benzene/biphenyl
Q07944	pf00848;cladeA;subcladeA01 benzene/biphenyl
A0A1G3DV86	pf00848;cladeA;subcladeA01 benzene/biphenyl
P37333	pf00848;cladeA;subcladeA01 benzene/biphenyl
Q52028	pf00848;cladeA;subcladeA01 benzene/biphenyl
A0A097SRH9	pf00848;cladeA;subcladeA01 benzene/biphenyl
Q46372	pf00848;cladeA;subcladeA01 benzene/biphenyl
Q52438	pf00848;cladeA;subcladeA01 benzene/biphenyl
A0A076PQW2	pf00848;cladeA;subcladeA01 benzene/biphenyl
A0A0B1YW46	pf00848;cladeA;subcladeA01 benzene/biphenyl
Q53122	pf00848;cladeA;subcladeA01 benzene/biphenyl
A0A848Q2V5	pf00848;cladeA;subcladeA01 benzene/biphenyl
A0A1B4I0I6	pf00848;cladeA;subcladeA01 benzene/biphenyl
P0ABR5	pf00848;cladeA;cladeA02 phenylpropionate/cinnamic acid
Q83K39	pf00848;cladeA;cladeA02 phenylpropionate/cinnamic acid
A0A080IUM8	pf00848;cladeA;cladeA02 phenylpropionate/cinnamic acid
Q3YZ15	pf00848;cladeA;cladeA02 phenylpropionate/cinnamic acid
P0ABR6	pf00848;cladeA;cladeA02 phenylpropionate/cinnamic acid
Q0T1Y1	pf00848;cladeA;cladeA02 phenylpropionate/cinnamic acid
A8A344	pf00848;cladeA;cladeA02 phenylpropionate/cinnamic acid
Q31XV2	pf00848;cladeA;cladeA02 phenylpropionate/cinnamic acid
Q7N4W0	pf00848;cladeA;cladeA02 phenylpropionate/cinnamic acid
A0A009FNX5	pf00848;cladeA;cladeA02 phenylpropionate/cinnamic acid
A0A0G4QSK7	pf00848;cladeA;cladeA02 phenylpropionate/cinnamic acid
A0A0E9ZTM3	pf00848;cladeA;cladeA02 phenylpropionate/cinnamic acid
A0A1B4C4T2	pf00848;cladeA;cladeA02 phenylpropionate/cinnamic acid
A0A0L0K6X1	pf00848;cladeA
A0A829QJ07	pf00848;cladeA
A0A2I9D1B6	pf00848;cladeA
A0A0H5NF25	pf00848;cladeA
A0A0C6P950	pf00848;cladeA
A0A0R3DWF4	pf00848;cladeA
A0A2V6QWM4	pf00848;cladeA
A0A2A5FCB7	pf00848;cladeA
A0A2A5FAH6	pf00848;cladeA
A0A095UT79	pf00848;cladeA
A0A7I7WP28	pf00848;cladeA
A0A064CBC8	pf00848;cladeA
G8GV17	pf00848;cladeA
A0A2D6F809	pf00848;cladeA
G8Q8V4	pf00848;cladeA;subcladeA03
A0A013VR59	pf00848;cladeA;subcladeA03
A0A0I9SEV6	pf00848;cladeA;subcladeA03
A0A076PP24	pf00848;cladeA;subcladeA03
A0A0J5VXM2	pf00848;cladeA;subcladeA03
A0A0M1NXX2	pf00848;cladeA;subcladeA03
A0A1Q9PHW1	pf00848;cladeA;subcladeA03
A0A049DBS2	pf00848;cladeA;cladeA04
A0A1A3HNH3	pf00848;cladeA;cladeA04
A0A0F5N4V1	pf00848;cladeA;cladeA04
C0KUL0	pf00848;cladeA;cladeA04
A0A2C9SZW4	pf00848;cladeA;cladeA04
A0A1B1KG76	pf00848;cladeA;cladeA04
A0A0D8HYQ2	pf00848;cladeA;cladeA04
A0A1I2XCL0	pf00848;cladeA;cladeA04
A0A1Y2KJT2	pf00848;cladeA;cladeA04
A0A0Q5VSD5	pf00848;cladeA;cladeA04
A0A7I9ZEG9	pf00848;cladeA;cladeA04
I2DCL0	pf00848;cladeA;cladeA04
A0A064CF48	pf00848;cladeA;cladeA04
A0A064CE38	pf00848;cladeA;cladeA04
A0A076F259	pf00848;cladeA;cladeA04
A0A178G2S2	pf00848;cladeA;cladeA04
Q51974	pf00848;cladeB;subcladeB00
A0A120FKM6	pf00848;cladeB;subcladeB00
A0A0D1MGS1	pf00848;cladeB;subcladeB00
A0A076EYR2	pf00848;cladeB;subcladeB00
A0A6B0W2B0	pf00848;cladeB;subcladeB00
A0A117RK30	pf00848;cladeB;subcladeB00
A0A109IJU7	pf00848;cladeB;subcladeB00
A0A136PJW0	pf00848;cladeB;subcladeB00
A0A0D0KMP7	pf00848;cladeB;subcladeB01
A0A0D0LGI0	pf00848;cladeB;subcladeB01
A0A1C6QYB6	pf00848;cladeB;subcladeB01
A0A0D7NWU9	pf00848;cladeB;subcladeB01
A0A071MKQ7	pf00848;cladeB;subcladeB01
A0A095VCW9	pf00848;cladeB;subcladeB01
A0A1H3MKH3	pf00848;cladeB;subcladeB01
A0A0M6YB90	pf00848;cladeB;subcladeB01
A0A098T6S3	pf00848;cladeB;subcladeB01
A0A023XHQ1	pf00848;cladeB;subcladeB01
A0A1U9K112	pf00848;cladeB;subcladeB01
A0A095X243	pf00848;cladeB;subcladeB01
A0A085VIK9	pf00848;cladeB;subcladeB01
A0A0U4D8T8	pf00848;cladeB;subcladeB01
A0A0D0KXL3	pf00848;cladeB;subcladeB01
A0A024K4E8	pf00848;cladeB;subcladeB01
A0A0Q8E065	pf00848;cladeB;subcladeB01
A0A0M4Q625	pf00848;cladeB;subcladeB01
A0A0D1LE26	pf00848;cladeB;subcladeB01
A0A0C6P3M6	pf00848;cladeB;subcladeB01
A0A0Q7LRT1	pf00848;cladeB;subcladeB01
A0A024K6L7	pf00848;cladeB;subcladeB01
A0A1A0K542	pf00848;cladeB;subcladeB01
A0A0A8RRY2	pf00848;cladeB
Q3C1D5	pf00848;cladeB;subcladeB02 terephthalate/anthranilate
Q3C1E3	pf00848;cladeB;subcladeB02 terephthalate/anthranilate
A0A076PS92	pf00848;cladeB;subcladeB02 terephthalate/anthranilate
A0A0K8P8S4	pf00848;cladeB;subcladeB02 terephthalate/anthranilate
A0A0B1RRW0	pf00848;cladeB;subcladeB02 terephthalate/anthranilate
A0A088TZV8	pf00848;cladeB;subcladeB02 terephthalate/anthranilate
A0A158A3G8	pf00848;cladeB;subcladeB02 terephthalate/anthranilate
A0A069PYT6	pf00848;cladeB;subcladeB02 terephthalate/anthranilate
A0A013WGM0	pf00848;cladeB;subcladeB02 terephthalate/anthranilate
Q84BZ3	pf00848;cladeB;subcladeB02 terephthalate/anthranilate
A0A063BGG4	pf00848;cladeB;subcladeB02 terephthalate/anthranilate
A0A0A1F8Z7	pf00848;cladeB;subcladeB02 terephthalate/anthranilate
A0A0Q1CM90	pf00848;cladeB;subcladeB02 terephthalate/anthranilate
A0A059G347	pf00848;cladeB;subcladeB02 terephthalate/anthranilate
A0A0B9A394	pf00848;cladeB;subcladeB02 terephthalate/anthranilate
O52379	pf00848;cladeB;subcladeB03 salicylate
A0A059KJQ1	pf00848;cladeB;subcladeB03 salicylate
A0A2T2Y2Q5	pf00848;cladeB;subcladeB03 salicylate
A0A0D0N234	pf00848;cladeB;subcladeB03 salicylate
A0A0P0LHE4	pf00848;cladeB;subcladeB03 salicylate
A0A0T2YGA2	pf00848;cladeB;subcladeB03 salicylate
A0A0Q0XJ04	pf00848;cladeB;subcladeB03 salicylate
A0A1E3Z3S3	pf00848;cladeB;subcladeB03 salicylate
A0A095VBZ9	pf00848;cladeB;subcladeB03 salicylate
A0A0Q5KY30	pf00848;cladeB;subcladeB03 salicylate
A0A378YIU4	pf00848;cladeB;subcladeB03 salicylate
A0A439F187	pf00848;cladeB;subcladeB03 salicylate
A0A087NXV8	pf00848;cladeB;subcladeB03 salicylate
D8NCR6	pf00848;cladeB;subcladeB03 salicylate
A0A1H6BG67	pf00848;cladeB;subcladeB03 salicylate
A0A0D6HML5	pf00848;cladeB;subcladeB03 salicylate
A0A162L4X3	pf00848;cladeB;subcladeB03 salicylate
A0A2N5CM20	pf00848;cladeB;subcladeB03 salicylate
